age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
64,retired,divorced,secondary,no,3096,no,no,cellular,17,jul,518,29,387,8,success,yes
52,technician,single,tertiary,no,1596,yes,no,cellular,28,may,312,1,391,6,failure,no
53,self-employed,single,secondary,no,-2672,yes,yes,cellular,22,aug,33,2,-1,0,unknown,no
67,unemployed,divorced,tertiary,no,1476,no,no,cellular,19,jun,110,18,-1,0,unknown,no
21,blue-collar,divorced,secondary,no,-156,no,yes,unknown,24,mar,5,28,37,8,other,no
19,blue-collar,married,tertiary,no,-3763,yes,no,cellular,27,may,576,20,-1,0,unknown,no
23,student,married,unknown,no,4857,yes,no,unknown,14,aug,354,14,-1,0,unknown,no
71,technician,married,secondary,no,-173,yes,no,unknown,30,may,147,22,-1,0,unknown,no
21,student,married,tertiary,no,2572,no,no,cellular,30,aug,368,8,-1,0,unknown,no
71,unemployed,married,secondary,no,-8039,no,no,cellular,29,jul,699,29,18,2,failure,no
80,blue-collar,married,primary,no,2918,yes,no,unknown,10,may,84,29,-1,0,unknown,no
35,retired,married,unknown,no,481,yes,no,unknown,21,apr,86,19,-1,0,unknown,no
61,technician,married,tertiary,no,-3242,yes,no,telephone,9,aug,170,14,351,3,failure,no
51,management,single,tertiary,no,-233,yes,no,cellular,25,jul,316,26,-1,0,unknown,no
91,entrepreneur,married,unknown,no,-636,no,no,unknown,16,may,1281,14,-1,0,unknown,yes
79,admin.,single,secondary,no,3674,no,no,unknown,15,jul,45,26,189,6,failure,no
31,unemployed,single,secondary,no,1693,yes,yes,cellular,27,jul,108,22,-1,0,unknown,no
65,technician,married,tertiary,no,-3145,no,no,cellular,16,jan,116,20,-1,0,unknown,no
32,technician,divorced,secondary,no,2737,yes,yes,unknown,18,jul,333,8,-1,0,unknown,no
89,admin.,married,primary,no,-4790,no,no,cellular,21,jul,561,9,-1,0,unknown,no
79,admin.,married,tertiary,no,-1953,no,no,cellular,23,apr,52,25,396,5,failure,no
57,retired,married,secondary,no,1465,yes,no,cellular,23,aug,322,14,-1,0,unknown,no
70,technician,married,secondary,no,-450,no,no,telephone,10,aug,620,12,-1,0,unknown,no
41,unknown,married,secondary,no,4997,yes,no,unknown,3,may,33,13,-1,0,unknown,no
43,retired,married,tertiary,no,1929,yes,yes,cellular,7,may,260,6,-1,0,unknown,no
77,technician,married,secondary,no,3299,yes,no,cellular,7,jul,58,14,-1,0,unknown,no
58,blue-collar,married,secondary,no,3422,yes,no,cellular,20,apr,150,15,312,6,failure,no
46,self-employed,married,tertiary,no,92,no,yes,cellular,11,sep,34,2,-1,0,unknown,no
32,blue-collar,single,primary,no,-1774,yes,no,cellular,23,jun,296,18,14,5,other,no
62,admin.,married,primary,no,1272,no,yes,cellular,24,nov,132,10,-1,0,unknown,no
82,self-employed,married,unknown,no,4023,no,no,cellular,3,jul,216,25,-1,0,unknown,no
88,entrepreneur,married,tertiary,no,723,yes,no,unknown,18,may,191,21,-1,0,unknown,no
26,technician,married,secondary,no,3194,yes,no,cellular,25,jun,305,7,-1,0,unknown,no
18,admin.,married,primary,no,1340,yes,no,unknown,28,jul,582,22,-1,0,unknown,no
25,retired,single,secondary,no,-3237,yes,no,unknown,12,aug,84,25,-1,0,unknown,no
80,technician,married,tertiary,no,-2982,yes,yes,cellular,23,sep,233,5,-1,0,unknown,no
28,housemaid,single,tertiary,no,6109,no,no,telephone,17,jul,220,8,-1,0,unknown,no
25,services,single,primary,no,-2080,yes,no,cellular,26,may,97,20,152,7,failure,no
52,self-employed,married,secondary,no,-490,no,no,cellular,26,jul,178,13,-1,0,unknown,no
52,retired,married,secondary,no,4174,yes,no,unknown,9,may,10,7,-1,0,unknown,no
50,technician,divorced,tertiary,no,-2155,yes,yes,cellular,5,may,143,25,-1,0,unknown,no
22,technician,single,secondary,no,-628,yes,no,cellular,18,may,81,18,-1,0,unknown,no
58,retired,married,unknown,no,787,yes,no,unknown,23,apr,514,9,-1,0,unknown,no
45,unemployed,single,tertiary,no,395,yes,no,unknown,9,oct,114,12,-1,0,unknown,no
24,unemployed,single,tertiary,no,-1489,no,no,cellular,13,apr,55,24,-1,0,unknown,no
90,technician,married,primary,no,841,no,no,cellular,3,aug,194,26,78,8,other,no
89,technician,divorced,tertiary,no,3459,yes,yes,cellular,4,jun,429,17,-1,0,unknown,no
29,admin.,married,secondary,no,1053,no,no,cellular,25,aug,112,10,-1,0,unknown,no
51,blue-collar,married,secondary,no,-553,yes,no,telephone,18,aug,484,7,-1,0,unknown,no
50,admin.,divorced,secondary,no,4260,yes,yes,cellular,20,aug,101,28,-1,0,unknown,no
65,management,single,primary,no,6541,no,no,cellular,21,may,343,21,-1,0,unknown,no
40,blue-collar,married,tertiary,no,4287,no,no,unknown,15,aug,31,5,76,1,failure,no
79,unknown,married,unknown,no,-1947,no,no,unknown,20,apr,16,23,-1,0,unknown,no
54,services,single,secondary,no,-1868,yes,no,telephone,23,jun,345,15,-1,0,unknown,no
61,technician,single,secondary,no,2732,no,no,cellular,6,dec,118,16,-1,0,unknown,no
52,blue-collar,single,secondary,no,1935,no,yes,cellular,9,nov,128,27,-1,0,unknown,no
82,blue-collar,divorced,tertiary,no,-2252,yes,no,unknown,11,apr,220,16,-1,0,unknown,no
64,services,single,secondary,no,2281,no,no,cellular,29,jul,1117,10,186,6,failure,yes
20,unknown,married,secondary,no,1718,no,no,unknown,29,may,48,14,-1,0,unknown,no
18,housemaid,married,tertiary,no,5855,no,no,unknown,13,aug,91,20,-1,0,unknown,no
22,technician,married,secondary,no,115,no,no,unknown,4,aug,269,17,-1,0,unknown,no
31,technician,single,tertiary,no,5581,yes,no,cellular,27,jan,311,6,-1,0,unknown,no
44,management,single,secondary,no,5713,no,no,cellular,15,sep,315,1,-1,0,unknown,no
26,unemployed,married,secondary,no,-597,yes,no,cellular,25,may,233,11,-1,0,unknown,no
32,admin.,married,secondary,no,2484,no,no,unknown,17,nov,228,1,-1,0,unknown,no
59,blue-collar,married,primary,no,787,no,no,cellular,12,nov,41,12,-1,0,unknown,no
94,blue-collar,married,secondary,no,664,no,yes,telephone,6,may,464,24,-1,0,unknown,no
68,technician,married,secondary,no,2160,yes,yes,unknown,7,jul,2,20,-1,0,unknown,no
80,blue-collar,married,secondary,no,-947,no,no,cellular,25,may,139,15,-1,0,unknown,no
69,unknown,married,secondary,no,-3363,yes,no,telephone,17,apr,62,5,-1,0,unknown,no
21,admin.,married,primary,no,-173,no,no,cellular,11,sep,28,10,-1,0,unknown,no
40,services,married,secondary,no,4964,no,no,unknown,12,may,99,26,-1,0,unknown,no
32,management,married,primary,no,812,yes,no,telephone,28,may,276,17,-1,0,unknown,no
60,self-employed,single,secondary,no,1352,yes,no,unknown,13,nov,177,10,-1,0,unknown,no
46,unknown,married,primary,no,3799,yes,no,unknown,1,apr,533,7,-1,0,unknown,no
53,management,single,tertiary,no,-3369,yes,no,cellular,18,jul,236,27,-1,0,unknown,no
30,blue-collar,single,tertiary,no,2739,yes,no,cellular,22,jul,75,18,-1,0,unknown,no
49,retired,married,tertiary,no,6431,yes,no,cellular,19,aug,186,6,242,7,other,no
88,retired,married,secondary,no,1696,yes,no,cellular,11,aug,66,9,-1,0,unknown,no
76,technician,divorced,tertiary,no,-4346,no,no,cellular,30,may,50,2,-1,0,unknown,no
45,technician,single,secondary,no,1192,no,no,cellular,22,aug,800,22,-1,0,unknown,yes
83,technician,divorced,secondary,no,3252,no,no,cellular,18,nov,162,28,-1,0,unknown,no
59,retired,single,tertiary,no,1758,yes,no,cellular,29,oct,271,12,19,9,other,no
62,admin.,married,secondary,no,2239,no,no,cellular,10,jun,533,5,-1,0,unknown,no
79,self-employed,married,primary,no,2599,yes,yes,cellular,6,jul,100,15,-1,0,unknown,no
74,technician,married,secondary,no,-1374,no,no,cellular,23,jul,401,13,-1,0,unknown,no
23,technician,married,tertiary,no,-999,yes,no,unknown,22,aug,401,29,-1,0,unknown,no
45,management,married,primary,no,313,yes,no,cellular,2,jun,448,29,336,1,failure,no
45,blue-collar,single,tertiary,no,2600,no,no,unknown,5,apr,54,2,-1,0,unknown,no
61,admin.,married,tertiary,no,-2145,yes,no,unknown,10,may,849,15,160,7,failure,yes
47,services,married,tertiary,no,7591,no,yes,cellular,15,aug,82,14,262,8,failure,no
79,unknown,single,primary,no,-5848,no,no,cellular,29,jul,386,9,-1,0,unknown,no
92,technician,single,secondary,no,-3698,yes,yes,cellular,14,aug,45,16,-1,0,unknown,no
79,services,married,tertiary,no,3083,no,no,cellular,6,jun,665,2,-1,0,unknown,yes
18,housemaid,single,secondary,no,2824,yes,yes,telephone,14,may,144,1,-1,0,unknown,no
44,admin.,single,secondary,no,1204,yes,no,cellular,24,apr,284,25,-1,0,unknown,no
79,management,married,secondary,no,3450,yes,no,cellular,25,jun,489,9,-1,0,unknown,no
94,services,married,secondary,no,3125,yes,no,cellular,21,may,85,25,-1,0,unknown,no
20,services,married,tertiary,yes,1422,yes,no,unknown,14,dec,127,24,-1,0,unknown,no
87,technician,married,primary,no,2226,yes,no,telephone,12,may,97,20,-1,0,unknown,no
89,admin.,married,tertiary,no,-8000,yes,no,unknown,23,jul,85,14,181,8,failure,no
44,services,divorced,tertiary,no,1022,yes,yes,cellular,4,jan,184,25,-1,0,unknown,no
26,admin.,single,secondary,no,1278,no,no,cellular,26,may,204,2,-1,0,unknown,no
79,unemployed,single,secondary,no,7160,yes,no,cellular,12,may,20,1,105,2,other,no
54,management,divorced,secondary,no,-1055,yes,no,unknown,21,aug,288,28,-1,0,unknown,no
68,management,divorced,tertiary,no,1314,yes,yes,cellular,17,jun,140,10,-1,0,unknown,no
61,self-employed,married,secondary,no,5692,yes,no,cellular,29,feb,568,23,-1,0,unknown,no
41,blue-collar,married,tertiary,no,3102,no,yes,unknown,19,may,559,22,-1,0,unknown,no
76,admin.,single,primary,no,1497,no,no,cellular,16,jul,328,19,-1,0,unknown,no
49,unknown,married,tertiary,no,4308,no,no,cellular,18,jul,496,18,-1,0,unknown,no
69,technician,married,tertiary,no,-956,yes,no,cellular,6,mar,659,24,-1,0,unknown,yes
79,admin.,single,tertiary,no,6597,no,no,unknown,9,nov,222,20,-1,0,unknown,no
75,unemployed,divorced,secondary,no,3349,no,no,cellular,26,may,921,22,318,5,failure,yes
69,management,married,secondary,no,-3455,yes,no,unknown,19,nov,802,20,-1,0,unknown,no
29,management,single,primary,no,-393,yes,no,cellular,12,may,30,29,-1,0,unknown,no
56,technician,married,tertiary,no,-5050,yes,no,unknown,11,jul,190,11,-1,0,unknown,no
19,retired,single,tertiary,no,3809,no,no,cellular,28,may,31,9,-1,0,unknown,no
20,technician,married,secondary,no,3112,yes,no,cellular,16,jul,297,15,-1,0,unknown,no
73,self-employed,single,tertiary,no,41,no,no,cellular,2,jun,373,28,208,5,failure,no
76,technician,married,secondary,no,5023,yes,no,unknown,18,jan,557,16,-1,0,unknown,no
19,self-employed,single,secondary,no,1171,no,no,unknown,30,may,270,13,-1,0,unknown,no
19,retired,married,secondary,no,9292,no,no,unknown,6,feb,156,21,-1,0,unknown,no
71,entrepreneur,married,secondary,no,-2176,no,no,cellular,26,jul,43,6,79,2,failure,no
18,blue-collar,married,secondary,no,3347,no,no,unknown,22,sep,34,25,-1,0,unknown,no
36,blue-collar,married,secondary,no,229,yes,no,unknown,5,may,171,15,147,8,success,no
19,services,married,tertiary,no,-609,no,no,unknown,9,jul,461,15,-1,0,unknown,no
70,technician,married,tertiary,no,902,no,no,cellular,13,apr,358,22,35,6,failure,no
61,technician,single,tertiary,no,2523,yes,no,telephone,7,may,548,18,-1,0,unknown,no
49,housemaid,single,secondary,no,1596,yes,no,cellular,23,may,429,11,-1,0,unknown,no
87,entrepreneur,married,unknown,no,3455,yes,no,cellular,27,apr,59,1,-1,0,unknown,no
49,management,single,secondary,no,3242,yes,no,unknown,1,may,57,14,122,2,failure,no
85,technician,married,secondary,no,5776,no,no,cellular,10,sep,158,25,-1,0,unknown,no
72,services,married,tertiary,no,-2181,yes,no,cellular,26,dec,54,2,-1,0,unknown,no
92,blue-collar,married,secondary,no,-3249,no,no,cellular,18,sep,53,2,-1,0,unknown,no
73,management,married,tertiary,no,1218,yes,yes,cellular,12,nov,80,20,-1,0,unknown,no
34,unemployed,married,tertiary,no,-958,yes,no,cellular,3,aug,5,26,-1,0,unknown,no
55,unknown,divorced,unknown,no,4043,yes,no,unknown,5,may,218,10,-1,0,unknown,no
41,technician,married,primary,no,-1781,yes,no,unknown,14,jul,130,16,-1,0,unknown,no
86,management,married,primary,no,-226,yes,no,unknown,27,aug,69,3,-1,0,unknown,no
87,management,married,secondary,no,424,no,no,unknown,15,jun,37,14,-1,0,unknown,no
28,services,divorced,primary,yes,6718,no,yes,unknown,12,jul,157,23,-1,0,unknown,no
33,technician,single,secondary,yes,7744,no,yes,unknown,4,jul,237,7,-1,0,unknown,no
90,admin.,single,tertiary,no,-2002,no,no,unknown,24,jun,934,19,-1,0,unknown,yes
76,self-employed,divorced,tertiary,no,-5165,no,no,unknown,16,may,75,19,-1,0,unknown,no
87,management,divorced,secondary,no,-299,no,no,unknown,11,jul,6,25,-1,0,unknown,no
20,management,single,tertiary,no,1311,yes,no,cellular,4,mar,343,23,-1,0,unknown,no
37,self-employed,married,secondary,no,1297,yes,no,cellular,6,may,69,19,-1,0,unknown,no
76,unemployed,single,secondary,no,1169,yes,no,cellular,25,nov,170,3,85,6,success,no
53,technician,married,primary,no,3869,yes,no,telephone,16,jun,426,13,385,3,failure,no
36,retired,single,secondary,no,213,yes,no,cellular,2,aug,9,19,-1,0,unknown,no
84,management,single,secondary,no,2062,no,no,cellular,13,aug,39,25,-1,0,unknown,no
36,entrepreneur,single,secondary,no,3356,yes,yes,cellular,8,may,26,14,-1,0,unknown,no
37,blue-collar,married,primary,no,2080,no,no,unknown,12,aug,68,8,-1,0,unknown,no
88,blue-collar,single,secondary,no,3449,yes,no,telephone,21,apr,49,29,-1,0,unknown,no
69,services,divorced,secondary,no,-3701,yes,no,cellular,26,sep,98,23,-1,0,unknown,no
50,entrepreneur,married,primary,no,1765,no,yes,cellular,6,jul,353,8,-1,0,unknown,no
57,admin.,married,secondary,no,2111,yes,no,unknown,3,nov,11,17,-1,0,unknown,no
56,technician,single,secondary,no,925,no,no,cellular,15,nov,19,25,-1,0,unknown,no
18,services,divorced,tertiary,no,-370,yes,no,unknown,8,may,214,21,-1,0,unknown,no
28,admin.,married,tertiary,no,2805,no,no,telephone,30,sep,189,29,-1,0,unknown,no
74,technician,married,primary,no,1790,no,no,unknown,2,jul,165,5,-1,0,unknown,no
67,housemaid,married,secondary,no,1264,no,yes,cellular,16,may,187,5,-1,0,unknown,no
40,unknown,married,primary,no,436,no,no,unknown,13,aug,349,25,121,2,failure,no
48,services,divorced,primary,no,554,yes,no,cellular,1,nov,221,21,-1,0,unknown,no
59,technician,single,secondary,no,-874,yes,yes,unknown,11,apr,157,2,-1,0,unknown,no
24,technician,single,secondary,no,-4,yes,no,cellular,28,nov,22,22,181,5,other,no
33,technician,married,unknown,no,-1395,yes,no,cellular,1,jul,949,23,-1,0,unknown,yes
77,admin.,single,secondary,no,260,yes,no,cellular,8,feb,70,11,-1,0,unknown,no
19,unknown,married,tertiary,no,2514,no,yes,unknown,2,jul,524,15,-1,0,unknown,no
18,technician,married,tertiary,no,3881,yes,no,cellular,13,aug,122,23,-1,0,unknown,no
65,management,married,tertiary,no,1268,no,no,cellular,29,jul,297,7,-1,0,unknown,no
29,admin.,married,primary,no,1185,no,no,cellular,21,aug,156,11,141,5,other,no
86,housemaid,married,secondary,no,1853,no,no,cellular,2,sep,112,2,-1,0,unknown,no
54,blue-collar,married,secondary,no,4372,no,no,unknown,27,sep,245,6,-1,0,unknown,no
49,unknown,married,primary,no,747,no,no,unknown,4,may,198,9,105,9,other,no
26,unemployed,married,primary,no,2810,yes,yes,cellular,25,may,68,17,-1,0,unknown,no
36,services,single,tertiary,no,2533,no,no,cellular,2,apr,105,19,-1,0,unknown,no
65,technician,married,unknown,no,-448,no,no,cellular,13,jul,9,12,99,8,failure,no
20,blue-collar,divorced,tertiary,no,3542,yes,no,cellular,4,nov,55,6,-1,0,unknown,no
37,services,married,secondary,no,-4794,yes,no,cellular,29,may,105,16,-1,0,unknown,no
41,retired,single,primary,no,4607,yes,no,cellular,26,may,923,23,-1,0,unknown,yes
71,admin.,divorced,secondary,no,-2160,yes,no,cellular,21,nov,193,2,-1,0,unknown,no
50,admin.,divorced,secondary,no,1004,no,no,cellular,26,aug,311,26,-1,0,unknown,no
41,retired,single,secondary,no,3908,yes,no,cellular,15,apr,288,24,-1,0,unknown,no
92,retired,married,tertiary,no,140,yes,no,cellular,29,may,1021,11,-1,0,unknown,yes
89,blue-collar,married,unknown,no,2124,yes,no,cellular,26,dec,209,15,-1,0,unknown,no
53,technician,married,secondary,no,3957,yes,yes,cellular,21,jun,227,29,-1,0,unknown,no
55,management,married,secondary,no,6966,yes,no,cellular,12,jul,92,6,-1,0,unknown,no
42,technician,married,tertiary,no,1376,yes,no,cellular,12,aug,253,28,4,3,other,no
35,admin.,single,primary,no,1961,no,no,unknown,5,jul,365,25,-1,0,unknown,no
83,management,married,tertiary,no,1543,yes,no,cellular,29,jun,28,9,341,1,other,no
71,technician,single,tertiary,no,758,no,no,unknown,10,may,168,9,-1,0,unknown,no
52,technician,divorced,tertiary,no,-2615,yes,no,cellular,26,aug,141,25,-1,0,unknown,no
78,services,single,secondary,no,-1940,no,no,cellular,2,nov,31,18,-1,0,unknown,no
58,technician,single,secondary,no,1379,no,no,unknown,8,nov,107,26,-1,0,unknown,no
50,admin.,single,secondary,no,2445,no,no,cellular,27,jul,197,13,-1,0,unknown,no
85,admin.,married,primary,no,5206,no,yes,cellular,5,jun,270,26,-1,0,unknown,no
50,technician,married,secondary,no,792,no,no,cellular,22,may,87,29,15,7,other,no
31,admin.,divorced,tertiary,no,6008,yes,no,unknown,8,apr,166,23,-1,0,unknown,no
38,blue-collar,divorced,secondary,no,-2191,yes,no,cellular,24,oct,341,5,-1,0,unknown,no
65,technician,divorced,secondary,no,2052,yes,no,cellular,13,may,141,25,-1,0,unknown,no
37,technician,married,secondary,no,620,yes,no,unknown,29,may,729,17,298,1,other,no
25,services,single,secondary,yes,-2515,yes,no,cellular,13,aug,8,26,-1,0,unknown,no
24,blue-collar,married,secondary,no,-3657,no,no,cellular,26,aug,77,23,-1,0,unknown,no
84,student,married,tertiary,no,117,yes,no,unknown,23,jul,36,26,-1,0,unknown,no
34,blue-collar,married,secondary,no,342,yes,no,cellular,15,aug,201,21,-1,0,unknown,no
50,blue-collar,married,tertiary,no,-1242,no,no,cellular,15,jul,50,11,-1,0,unknown,no
65,management,married,secondary,no,3706,no,no,unknown,24,may,349,9,-1,0,unknown,no
93,blue-collar,married,tertiary,no,204,no,no,unknown,26,dec,646,23,-1,0,unknown,yes
76,retired,married,tertiary,no,-1538,no,no,cellular,11,nov,59,20,346,1,failure,no
39,technician,married,unknown,no,713,yes,no,cellular,23,jun,612,27,-1,0,unknown,no
47,technician,single,secondary,no,-471,no,no,cellular,10,jul,257,24,-1,0,unknown,no
55,technician,single,secondary,no,6362,yes,no,cellular,6,may,56,9,-1,0,unknown,no
68,self-employed,married,primary,no,476,yes,no,cellular,5,jul,344,9,331,7,failure,no
71,retired,married,secondary,no,-1331,yes,no,unknown,5,aug,24,10,-1,0,unknown,no
25,blue-collar,single,primary,no,6357,no,no,cellular,8,may,303,20,-1,0,unknown,no
44,services,married,secondary,no,3597,yes,no,cellular,1,jun,509,6,-1,0,unknown,no
44,management,married,tertiary,no,1740,no,no,cellular,2,jul,774,4,-1,0,unknown,yes
38,admin.,single,secondary,no,-966,yes,no,unknown,17,dec,14,1,-1,0,unknown,no
47,technician,divorced,primary,no,3721,yes,no,cellular,29,may,16,6,-1,0,unknown,no
45,entrepreneur,married,tertiary,no,-2968,yes,no,cellular,26,aug,687,24,-1,0,unknown,no
81,retired,married,secondary,no,3501,yes,no,unknown,7,may,402,6,-1,0,unknown,no
86,services,married,secondary,no,2172,no,no,cellular,29,apr,384,29,-1,0,unknown,no
78,entrepreneur,married,secondary,no,4392,no,no,cellular,25,aug,350,12,-1,0,unknown,no
65,technician,married,tertiary,no,-5659,yes,no,unknown,23,jul,325,3,312,8,failure,no
36,unknown,married,secondary,no,-1339,no,no,cellular,9,jun,245,13,187,4,failure,no
21,services,married,secondary,no,-1577,no,no,cellular,4,jul,432,24,-1,0,unknown,no
52,services,divorced,tertiary,no,-1931,yes,no,unknown,7,sep,8,10,103,7,success,no
81,services,single,secondary,no,2697,no,no,cellular,28,aug,347,9,235,7,success,yes
66,admin.,single,secondary,no,536,no,yes,unknown,10,sep,225,17,178,9,other,no
34,admin.,single,secondary,no,-1191,yes,no,cellular,16,may,614,11,-1,0,unknown,no
61,blue-collar,married,tertiary,no,-1887,yes,no,unknown,10,aug,710,27,-1,0,unknown,no
47,student,single,unknown,no,-1461,yes,no,unknown,7,may,71,6,-1,0,unknown,no
63,entrepreneur,married,secondary,no,4019,yes,no,cellular,26,feb,401,10,-1,0,unknown,no
23,technician,married,tertiary,no,1221,yes,no,cellular,26,mar,811,24,-1,0,unknown,yes
54,retired,single,secondary,no,3916,no,no,cellular,2,aug,80,18,-1,0,unknown,no
41,admin.,single,secondary,no,9416,no,no,unknown,2,may,491,14,-1,0,unknown,yes
63,admin.,single,secondary,no,1368,yes,no,cellular,8,may,227,4,-1,0,unknown,no
70,blue-collar,married,secondary,no,-2829,yes,yes,cellular,14,jul,129,13,141,5,failure,no
77,retired,divorced,tertiary,no,1010,no,no,unknown,18,aug,447,1,-1,0,unknown,no
80,admin.,divorced,primary,no,7059,yes,no,cellular,1,jul,526,20,-1,0,unknown,no
49,admin.,married,primary,no,4682,no,no,telephone,17,aug,85,2,-1,0,unknown,no
50,unknown,married,secondary,no,-516,no,no,cellular,17,nov,408,3,-1,0,unknown,no
84,admin.,married,secondary,no,509,no,no,unknown,22,sep,13,20,179,6,other,no
35,management,divorced,unknown,no,3747,no,no,cellular,5,may,139,3,-1,0,unknown,no
42,management,married,secondary,no,2860,yes,yes,unknown,16,nov,18,6,-1,0,unknown,no
71,admin.,married,tertiary,no,3779,yes,no,cellular,7,may,89,29,-1,0,unknown,no
75,technician,married,secondary,no,704,no,no,cellular,15,jul,774,7,-1,0,unknown,yes
84,services,married,secondary,no,2587,no,yes,cellular,19,sep,342,11,-1,0,unknown,no
63,unemployed,single,secondary,no,506,yes,no,unknown,21,jul,363,7,-1,0,unknown,no
41,management,married,primary,no,5602,yes,no,unknown,2,aug,37,17,-1,0,unknown,no
49,blue-collar,divorced,primary,no,-3156,no,no,cellular,27,nov,223,21,-1,0,unknown,no
64,unknown,single,secondary,no,-3147,yes,no,telephone,16,nov,127,19,-1,0,unknown,no
40,unemployed,single,primary,no,-721,yes,no,cellular,25,may,341,12,-1,0,unknown,no
83,management,married,secondary,no,-613,no,no,unknown,9,dec,44,1,267,4,failure,no
